EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
000004101,SOUTH LAFOURCHE QUARTERBACK CLUB,,167 BENT CYPRESS LN,LOCKPORT,LA,70374-4284,0000,03,3,1000,202005,1,04,000000000,1,01,,0,0,00,1,12,,,,N65,
000260049,CORINTH BAPTIST CHURCH,,PO BOX 92,HOSFORD,FL,32334-0092,2024,03,9,7200,196908,1,10,059029000,5,01,,0,0,06,0,12,,,,,
000360268,IGLESIA VICTORIA,,1445 N BOONVILLE AVE,SPRINGFIELD,MO,65802-1894,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
000490336,EASTSIDE BAPTIST CHURCH,,PO BOX 296,LABELLE,FL,33975-0296,2024,03,9,7200,196908,1,10,059029000,5,01,,0,0,06,0,12,,,,,
002296179,RELIGIOUS SCIENCE CHURCH CENTER OF SAN DIEGO,,4102 MARLBOROUGH,SAN DIEGO,CA,92105-1462,0000,03,3,7000,196204,1,10,001000000,1,01,,0,0,06,0,03,,,,,
003140260,PILGRIM BAPTIST CHURCH,,31115 MISSION BLVD,HAYWARD,CA,94544-7603,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,1910
010104976,SAINT ANDREW CHURCH,,4050 KATELLA AVE STE 101,LOS ALAMITOS,CA,90720-3463,0000,03,3,1000,199507,1,10,001000000,1,01,,0,0,06,0,12,,,,X21Z,
010132580,OQUOSSOC ANGLING ASSOC,% SHELBY SMITH,400 CREEKVIEW TRL SE,SMYRNA,GA,30082-4886,0000,07,3,1000,194507,2,00,317350000,1,01,202112,6,4,01,0,12,1371794,270987,268790,,
010137902,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,% STEVEN FELDMAN,5042 WILSHIRE BLVD 421,LOS ANGELES,CA,90036-4305,1381,05,9,3000,195708,2,00,263264279,5,01,202112,0,0,02,0,12,0,0,0,,L2006CA LA PROFESSIONAL MEDICAL EMP
010265029,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,% THOMAS C PUCKETT,PO BOX 923,CONIFER,CO,80433-0923,0690,03,9,2000,194408,1,16,059908000,5,01,202112,0,0,02,0,12,0,0,0,,MOUNT EVANS
010279698,WEST POLAND HIGHLAND CEMETERY CORPORATION,% JODOIN,357 KIRKHILL ST,OCOEE,FL,34761-5645,0000,13,3,2000,200102,1,00,000000000,1,01,202112,4,3,01,0,12,474617,84114,84114,Y50,
010303581,DEL LAGO ESTATES UTILITY COMPANY,,PO BOX 1860,CONROE,TX,77305-1860,0000,01,0,1000,000000,0,00,000000000,0,01,,4,3,07,0,12,,,,,
010342663,HELEN F WYLIE FOUNDATION,% MAINE NATIONAL BANK,PO BOX 653067,DALLAS,TX,75265-3067,0000,03,3,1000,197611,1,04,040041043,2,01,202112,5,4,00,1,12,681670,198472,,,
010345989,ALPHA OMICRON PI FRATERNITY INC,% CORP SERVICES,5390 VIRGINIA WAY,BRENTWOOD,TN,37027-7529,0190,07,9,1000,196109,2,00,036000000,5,01,201006,0,0,02,0,06,,,,,GAMMA CORPORATION
010352472,ST AUGUSTINE TRUST FUND 40-6130848230,,PO BOX 653067,DALLAS,TX,75265-3067,0000,03,3,1000,197804,1,04,560561602,2,01,202112,3,2,00,1,12,36183,12623,,,
010359130,ETERNITY BAPTIST CHURCH,,RR 3 BOX 289,MALVERY,AR,72104-9535,0000,03,3,0000,197903,1,10,001000000,5,01,,0,0,06,0,06,,,,,
010363374,LA MAISON ACADIENNE INC,% AMANDA RAYBURN,1200 S PINE ISLAND RD725,PLANTATION,FL,33324-4413,0000,03,3,1000,197906,1,16,382000000,1,01,202109,6,5,01,0,09,1315367,831523,831523,,
010363873,NATIONAL RURAL HEALTH ASSOCIATION,,4501 COLLEGE BLVD STE 225,LEAWOOD,KS,66211-1921,0000,03,3,2000,197911,1,15,123531205,5,01,202112,6,7,01,0,12,2342243,5213678,5213678,,
010365189,CELEBRATION INC,% ROBERT GASS,PO BOX 5160,ALPHARETTA,GA,30023-5160,0000,03,3,1000,197911,1,15,007029000,1,01,202112,8,7,01,0,12,12143937,7518779,5388788,,
